"year","tempWint"
1971,-1.62140771646461
1972,-3.97301325428748
1973,-6.12827453469562
1974,-3.0532068205859
1975,-2.9785625751897
1976,-4.97323374310414
1977,-2.54887084162049
1978,-2.70144058499638
1979,-1.27996819905071
1980,-2.1443213238132
1981,-1.43714738858317
1982,-3.17427775564289
1983,-3.94645363598446
1984,-2.85319191808552
1985,-2.37997573412402
1986,-1.77397147303842
1987,-4.39177332100166
1988,-1.44231879835582
1989,-3.58761048842262
1990,-1.60349455225827
1991,-3.21123055726305
1992,-2.17335024439519
1993,-3.41054662592324
1994,-2.47825083785503
1995,-1.84922093420055
1996,0.289894530191504
1997,0.891320545443968
1998,-3.45664423860154
1999,-1.08833604462934
2000,-0.880547621055895
2001,0.430648078598643
2002,-2.32992641030111
2003,-0.940016124513813
2004,-0.328729263565646
2005,-0.841434749441998
2006,-1.16292564264868
2007,0.482454376138997
2008,-0.659794282194648
2009,0.535363576545053
2010,-0.22001429412841
