"year","tempWint"
1971,-2.39792062071635
1972,-3.55056921136374
1973,-3.12908987316852
1974,-2.90252246985415
1975,-1.33965939449618
1976,-2.71238610824047
1977,-1.93072299998982
1978,-3.18306494956021
1979,-3.68178068128416
1980,-0.554869423785415
1981,-2.08729362535297
1982,-5.74534779407356
1983,-1.40735935258332
1984,-0.815859970255355
1985,-1.52816373098928
1986,-1.83282020895468
1987,-0.863897164610375
1988,-0.467677662167907
1989,-0.0595715636635328
1990,-5.28324145236738
1991,1.02162106348717
1992,-2.13574409423916
1993,-1.80979796466422
1994,-1.56938898770794
1995,-4.62797751006531
1996,-1.56701718761739
1997,-3.74796364659198
1998,0.308893937143102
1999,-1.74386633212049
2000,-4.22562755234876
2001,-3.41079396408163
2002,-0.898773222094491
2003,-1.98579910474457
2004,-3.75610084982318
2005,-0.645309780072547
2006,-3.03667869850624
2007,0.534667648208571
2008,0.294261494339533
2009,-0.482613779281517
2010,-1.43597463484616
